Gender,Ever_Married,Age,Graduated,Profession,Work_Experience,Spending_Score,Family_Size,Var_1,Cluster_KMeans,Cluster_Hier,Cluster_DBSCAN,Cluster_Jerarquico
Male,No,22.0,No,Healthcare,1.0,Low,4.0,Cat_4,3,2,0,2
Female,Yes,38.0,Yes,Engineer,1.0,Average,3.0,Cat_4,4,1,0,1
Female,Yes,67.0,Yes,Engineer,1.0,Low,1.0,Cat_6,0,3,0,3
Male,Yes,67.0,Yes,Lawyer,0.0,High,2.0,Cat_6,0,3,0,3
Female,Yes,40.0,Yes,Entertainment,1.0,High,6.0,Cat_6,4,1,-1,1
Male,Yes,56.0,No,Artist,0.0,Average,2.0,Cat_6,0,3,0,3
Male,No,32.0,Yes,Healthcare,1.0,Low,3.0,Cat_6,3,2,0,2
Female,No,33.0,Yes,Healthcare,1.0,Low,3.0,Cat_6,3,2,0,2
Female,Yes,61.0,Yes,Engineer,0.0,Low,3.0,Cat_7,0,1,0,1
Female,Yes,55.0,Yes,Artist,1.0,Average,4.0,Cat_6,4,1,0,1
Female,No,26.0,Yes,Engineer,1.0,Low,3.0,Cat_6,3,2,0,2
Male,No,19.0,No,Healthcare,4.0,Low,4.0,Cat_4,3,0,0,0
Female,No,19.0,No,Executive,0.0,Low,3.0,Cat_3,3,2,0,2
Male,Yes,70.0,No,Lawyer,1.0,Low,1.0,Cat_6,0,3,0,3
Female,Yes,58.0,No,Doctor,0.0,Low,1.0,Cat_3,1,1,0,1
Female,No,41.0,No,Healthcare,1.0,Low,2.0,Cat_1,1,4,-1,4
Female,No,32.0,No,Homemaker,9.0,Low,5.0,Cat_3,2,0,-1,0
Male,No,31.0,No,Healthcare,1.0,Low,6.0,Cat_6,3,2,0,2
Male,Yes,58.0,Yes,Entertainment,1.0,Average,4.0,Cat_6,4,1,0,1
Female,Yes,79.0,Yes,Artist,0.0,High,1.0,Cat_6,0,3,0,3
Female,No,18.0,No,Healthcare,3.0,Low,4.0,Cat_6,3,2,0,2
Female,No,36.0,Yes,Artist,5.0,Low,2.0,Cat_6,2,0,0,0
Female,Yes,58.0,No,Executive,1.0,Average,3.0,Cat_3,4,1,-1,1
Male,Yes,56.0,No,Artist,1.0,Average,3.0,Cat_6,4,1,0,1
Male,Yes,49.0,Yes,Artist,1.0,Average,3.0,Cat_6,4,1,0,1
Male,No,35.0,Yes,Artist,0.0,Low,1.0,Cat_6,1,4,0,4
Female,No,35.0,No,Artist,5.0,Low,4.0,Cat_6,3,2,0,2
Female,Yes,45.0,Yes,Artist,0.0,Low,3.0,Cat_6,1,1,0,1
Female,Yes,42.0,No,Doctor,1.0,Low,2.0,Cat_4,1,1,0,1
Male,No,19.0,No,Healthcare,1.0,Low,3.0,Cat_2,3,2,0,2
Male,No,26.0,No,Homemaker,9.0,Low,3.0,Cat_6,2,0,0,0
Female,Yes,83.0,No,Lawyer,1.0,High,2.0,Cat_6,0,3,0,3
Female,No,27.0,Yes,Healthcare,3.0,Low,4.0,Cat_1,3,2,0,2
Male,No,32.0,No,Doctor,5.0,Low,1.0,Cat_4,2,2,0,2
Female,Yes,28.0,No,Healthcare,1.0,Average,5.0,Cat_3,3,1,-1,1
Female,Yes,28.0,Yes,Artist,8.0,Low,2.0,Cat_6,2,0,0,0
Male,Yes,56.0,Yes,Artist,1.0,Average,2.0,Cat_6,0,3,0,3
Female,No,47.0,Yes,Artist,4.0,Low,1.0,Cat_6,1,0,0,0
Female,No,22.0,No,Healthcare,0.0,Low,2.0,Cat_6,3,2,0,2
Female,Yes,49.0,Yes,Artist,1.0,Low,2.0,Cat_6,1,1,0,1
Male,Yes,40.0,No,Engineer,8.0,Low,1.0,Cat_6,2,0,0,0
Female,Yes,79.0,No,Lawyer,1.0,High,2.0,Cat_6,0,3,0,3
Male,Yes,41.0,Yes,Artist,0.0,Average,4.0,Cat_4,4,1,0,1
Female,No,29.0,Yes,Healthcare,1.0,Low,1.0,Cat_7,1,4,0,4
Male,No,19.0,No,Healthcare,0.0,Low,4.0,Cat_6,3,2,0,2
Female,No,45.0,Yes,Engineer,1.0,Low,1.0,Cat_6,1,4,0,4
Female,Yes,61.0,No,Artist,1.0,Average,2.0,Cat_2,0,1,0,1
Female,Yes,36.0,Yes,Artist,1.0,Average,2.0,Cat_6,1,1,0,1
Male,Yes,40.0,Yes,Artist,1.0,Low,1.0,Cat_3,1,1,0,1
Female,Yes,57.0,Yes,Entertainment,0.0,Average,2.0,Cat_6,0,3,0,3
Male,Yes,76.0,No,Marketing,1.0,Low,1.0,Cat_4,0,3,0,3
Male,No,25.0,Yes,Healthcare,9.0,Low,4.0,Cat_6,2,0,0,0
Male,No,32.0,Yes,Doctor,8.0,Low,2.0,Cat_6,2,0,0,0
Female,Yes,45.0,Yes,Artist,1.0,Average,3.0,Cat_3,4,1,0,1
Male,Yes,72.0,Yes,Lawyer,1.0,Low,3.0,Cat_4,0,3,0,3
Male,Yes,48.0,Yes,Artist,0.0,Average,2.0,Cat_6,1,1,0,1
Male,Yes,55.0,Yes,Artist,9.0,Average,2.0,Cat_1,2,0,0,0
Male,Yes,74.0,Yes,Lawyer,0.0,High,3.0,Cat_6,0,3,0,3
Male,Yes,56.0,Yes,Lawyer,1.0,High,2.0,Cat_6,0,3,0,3
